time,Syslog priority,Operation,Message code,Protocol,Source IP,Destination IP,Source port,Destination port,Destination service,Direction
05/Apr/2012 20:25:35,Critical,Deny,ASA-2-106001,TCP,10.32.5.56,10.32.0.1,6667,1688,1688_tcp,inbound
05/Apr/2012 20:25:35,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,6667,25751,25751_tcp,inbound
05/Apr/2012 20:25:36,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,6667,47506,47506_tcp,inbound
05/Apr/2012 20:25:36,Critical,Deny,ASA-2-106001,TCP,10.32.5.59,10.32.0.1,6667,7915,7915_tcp,inbound
05/Apr/2012 20:25:36,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,6667,18156,18156_tcp,inbound
05/Apr/2012 20:25:36,Critical,Deny,ASA-2-106001,TCP,10.32.5.56,10.32.0.1,6667,55421,55421_tcp,inbound
05/Apr/2012 20:25:36,Critical,Deny,ASA-2-106001,TCP,10.32.5.59,10.32.0.1,6667,42828,42828_tcp,inbound
05/Apr/2012 20:25:37,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,6667,21296,21296_tcp,inbound
05/Apr/2012 20:25:37,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,6667,1953,1953_tcp,inbound
05/Apr/2012 20:25:37,Critical,Deny,ASA-2-106001,TCP,10.32.5.54,10.32.0.1,6667,15792,15792_tcp,inbound
05/Apr/2012 20:25:37,Critical,Deny,ASA-2-106001,TCP,10.32.5.58,10.32.0.1,6667,4325,4325_tcp,inbound
05/Apr/2012 20:25:38,Critical,Deny,ASA-2-106001,TCP,10.32.5.54,10.32.0.1,6667,47054,47054_tcp,inbound
05/Apr/2012 20:25:38,Critical,Deny,ASA-2-106001,TCP,10.32.5.58,10.32.0.1,6667,35954,35954_tcp,inbound
05/Apr/2012 20:26:37,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,6667,22226,22226_tcp,inbound
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.150,10.32.5.55,1400,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.34,10.32.5.55,1401,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.0,10.32.5.54,1402,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.37,10.32.5.51,1403,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.32,10.32.5.51,1404,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.151,10.32.5.55,1405,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.38,10.32.5.55,1406,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.153,10.32.5.52,1407,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.6,10.32.5.51,1408,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.231.62,10.32.5.55,1178,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.36,10.32.5.55,1409,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.231.69,10.32.5.51,1179,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.231.68,10.32.5.56,1180,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.150,10.32.5.55,1400,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.34,10.32.5.55,1401,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.0,10.32.5.54,1402,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.37,10.32.5.51,1403,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.32,10.32.5.51,1404,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.151,10.32.5.55,1405,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.38,10.32.5.55,1406,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.153,10.32.5.52,1407,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.6,10.32.5.51,1408,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.233.36,10.32.5.55,1409,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.231.62,10.32.5.55,1178,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.231.69,10.32.5.51,1179,21,ftp,(empty)
05/Apr/2012 20:26:56,Warning,Deny,ASA-4-106023,TCP,172.23.231.68,10.32.5.56,1180,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.150,10.32.5.55,1400,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.34,10.32.5.55,1401,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.0,10.32.5.54,1402,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.37,10.32.5.51,1403,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.32,10.32.5.51,1404,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.151,10.32.5.55,1405,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.38,10.32.5.55,1406,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.153,10.32.5.52,1407,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.6,10.32.5.51,1408,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.36,10.32.5.55,1409,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.158,10.32.5.53,1411,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.231.62,10.32.5.55,1178,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.4,10.32.5.53,1412,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.231.69,10.32.5.51,1179,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.231.68,10.32.5.56,1180,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.33,10.32.5.56,1410,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.5,10.32.5.52,1413,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.155,10.32.5.54,1414,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.152,10.32.5.50,1415,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.2,10.32.5.56,1416,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.30,10.32.5.55,1417,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.35,10.32.5.52,1418,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.3,10.32.5.53,1419,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.158,10.32.5.53,1411,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.4,10.32.5.53,1412,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.33,10.32.5.56,1410,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.5,10.32.5.52,1413,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.155,10.32.5.54,1414,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.152,10.32.5.50,1415,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.2,10.32.5.56,1416,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.30,10.32.5.55,1417,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.35,10.32.5.52,1418,21,ftp,(empty)
05/Apr/2012 20:26:57,Warning,Deny,ASA-4-106023,TCP,172.23.233.3,10.32.5.53,1419,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.158,10.32.5.53,1411,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.4,10.32.5.53,1412,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.33,10.32.5.56,1410,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.5,10.32.5.52,1413,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.155,10.32.5.54,1414,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.152,10.32.5.50,1415,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.2,10.32.5.56,1416,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.30,10.32.5.55,1417,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.35,10.32.5.52,1418,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.3,10.32.5.53,1419,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.154,10.32.5.50,1420,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.31,10.32.5.53,1421,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.9,10.32.5.54,1422,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.1,10.32.5.52,1424,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.156,10.32.5.54,1423,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.157,10.32.5.50,1425,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.8,10.32.5.56,1426,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.159,10.32.5.53,1427,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.7,10.32.5.55,1428,21,ftp,(empty)
05/Apr/2012 20:26:58,Warning,Deny,ASA-4-106023,TCP,172.23.233.39,10.32.5.53,1429,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.154,10.32.5.50,1420,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.31,10.32.5.53,1421,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.9,10.32.5.54,1422,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.1,10.32.5.52,1424,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.156,10.32.5.54,1423,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.157,10.32.5.50,1425,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.8,10.32.5.56,1426,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.159,10.32.5.53,1427,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.7,10.32.5.55,1428,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.39,10.32.5.53,1429,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.154,10.32.5.50,1420,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.31,10.32.5.53,1421,21,ftp,(empty)
05/Apr/2012 20:26:59,Warning,Deny,ASA-4-106023,TCP,172.23.233.9,10.32.5.54,1422,21,ftp,(empty)
